filename,reference,prediction
val_689.jpg, crowd of people seem to looking at and playing video games at a convention.  The man in the foreground has a white control in his hands.  He,"A man and woman are standing in front of each other outside on a cloudy day. The man is wearing a blue and white striped shirt, vest,"
val_824.jpg," the front window of a car, looking out towards a flooded underpass of a bridge. To the ridge is a stop sign on a orange and white stand","Three taxis, a pick-up truck and a Coca-Cola truck are traveling on a busy city street. The cars of the pick-up truck"
val_419.jpg, image is of the ocean. In the background there is a green landmass that leads to rocky cliffs into the water. In the foreground there is a sandy,Two people are wind surfing in the ocean.  The people are holding onto orange and white colored sails while their feet are on a ski board. 
val_314.jpg, large brown bear with a black nose is standing in front of a large white rock. Behind the rock is a small patch of grass in the dirt. ,Two dogs are standing next to each other. One of the dogs is black and the other is brown. There is a wooden fence behind the two dogs
val_658.jpg, is a picture of two giraffes. The giraffe on the right is bigger than the other one and they are standing in some dirt and grass.,Two giraffes are seen together and are standing outside in the middle of some grass area. They seem to be located in a zoo or animal preserve
val_310.jpg, people are posing together. the hair of the woman is blue and purple. the man is wearing nice clothes. his tie is red in color., a man and a woman are sitting beside each other at a table. The man has a black suit and red tie around his neck. The woman has
val_442.jpg, image is of a reddish brown table with several small bowls of food on it. Several of the bowls have chopsticks placed over the top of them.,Two women are sitting at a table. The woman on the left is wearing a red dress and has black glasses. The woman on the right is wearing
val_391.jpg, is a pizza in a pan. The pizza has a lot of sauce on it. There are a lot of black olives on the pizza. The pan,The table is white. The table has circle hole in the center. The hole is made of metal. On top of the circle hole is a pizza
val_589.jpg," is a fire hydrant in this image, which appears to serve a residential neighborhood. The neighborhood appears to be filled with single family homes. The cement street",The fire hydrant on the right is red. The hydrant on the left is painted white. There is rust on the top of the hydrant
val_185.jpg," middle aged man with gray hair is looking straight ahead. He is dressed in a black suit, gold tie & gray colored shirt. The room around him is", a man is holding a vase. The vase is orange with white stripes on it. The man has a beard that is dark brown. The
val_863.jpg, lady is sitting in a black chair near a wooden desk.  She has a black t-shirt with a green icon and beige skirt.  She,"Three women are sitting inside of a room at a coffee type event. One of the women is wearing eyeglasses on her eyes, a shirt is"
val_835.jpg, person is taking pictures from the rear view mirror. The phone is black and has Apple logo on it. The mirror has black border. In the mirror is,Two people are riding their motorcycles on the street. There is a red street light on the right side of the picture. There are cars driving on the
val_460.jpg, women are standing on a sidewalk in front of a hot dog cart. One of the women is holding a hot dog and grabbing a ketchup bottle. The,Three people are seen in this picture standing outside at night. One of the people on the right is wearing a black shirt and carrying a pizza. The
val_303.jpg, is a large paddle boat in a calm body of water. There are five people on the paddle boat. There is a man wearing a white shirt and jeans,Two people are sitting in the back of a canoe. The canoe has a blue bottom and a yellow top. The people are standing on the back of
val_721.jpg, small is holding an umbrella.  The umbrella is opened. The umbrella is  black. The ground is wet with puddles around. Most of the,Two people are walking outside on a walkway. Both of the people are carrying umbrellas to Shield them from the Sun. The umbrella that's
val_537.jpg, is a double decker bus driving down the street. The bus is bright red. There are some people walking along the sidewalk. There is a big green,"Three taxis, a pick-up truck and a Coca-Cola truck are traveling on a busy city street. They are all going past a building that"
val_913.jpg," little boy is skateboarding across a road. He is wearing a helmet, an orange long sleeve shirt and blue pants. A woman and another boy is standing",There are four bikes parked in a row on the street. Two of the bikes have the same make and color. Of in the distance you can see
val_931.jpg, is an image of a pathway. The pathway is gravel. The path is gray. There is a bench by the path. The bench is covered in a,Behind the trees there is a quiet city. In front of the trees there is a big clock tower. The face of the clock is white with black
val_691.jpg, photo was taken at night in the street. The white truck is driving through the street. The man is driving the white truck in the street. The truck,The jeep is parked. The jeep is red. The wheels are black. The ground is made of bricks. Behind the jeep are buildings
val_657.jpg, cow standing in the grass.  The cow is brown and white with brown freckles on his face.  The grass is green.  There are, cows are outside eating. They are brown and white. The cow closest to the camera is looking directly at the camera. It has a white head and
val_548.jpg, is a boy dressed in a blue baseball uniform. He has a bat in his hands and he is trying to hit the baseball. There is also a boy,The baseball players are on the field. One team has red on their uniforms. The other has yellow on theirs. The catcher has on a red helmet
val_800.jpg, man is on the snow. The man is walking with his ski boards. The man is holding two ski poles. The man is wearing a black shirt.,"Three people are standing in the snow on a ski slop on a blustery, snowy winter day. One person is siting all the way"
val_91.jpg, black pig is standing on the ground. There is a rock wall behind the pigs. There is a white plastic tarp on the ground. There is a,Two people are standing outside in front of a wooden fence. One of the people is holding a camera. There is a blue box on the counter in
val_489.jpg, view from the open doorways is a bathroom with a toilet and a shower with a sink. The toilet seat and lid are up and are white ceramic.,A white toilet is sitting in a room. There is a shower next to the toilet with a white shower curtain hanging from it. There is a white
val_248.jpg, plane is sitting parked at an airport. The plane is blue and has some red accents. The ground is very wet and it looks like it has just r,"Two planes sit on a runway. The runway is surrounded by a green, metal post fence. There is an American flag on the side of the runway"
val_36.jpg, shower with a glass door in a bathroom. The shower head is silver. There is a shelf in front of the door with a rolled up white towel.,There is a white toilet on the ground. There is a shower next to the toilet. There is a white sink next to the toilet.  There
val_268.jpg, striped zebras are standing next to a cement wall. There are bushes on the other side of the wall. There are logs in front of the wall,Three zebras are standing together on a patch of grass. A center zebra is grazing on the grass. A second zebra to the right
val_940.jpg, clock on a church tower show 2:56 in the afternoon.  The tower of the church is made of grey stone.  The top of the tower,The clock is very ornate. It has gold hands. There are cardinal numbers and roman numerals. There are also figurines around the clock
val_222.jpg, girl is playing tennis. her hair is in a ponytail. her uniform is a dress. her dress is blue in color. she is also wearing white,Two men are playing tennis on a tennis court. One of the men is wearing a red short sleeve shirt and dark shorts. The other man is wearing
val_398.jpg, are several people standing on a sidewalk next to a street. There is a man in a gray suit. There are several people holding umbrellas above their, A man and a woman are standing outside of a building. The man is wearing a white short sleeve shirt and brown bottoms. The woman is wearing
val_470.jpg," is an image of a woman surfing. The wave, with its white foam, is behind her. The wave is large and she looks like she is standing",Two people are surfing in the ocean. One of the people is wearing a black wet suit. The other person is wearing a yellow wet suit. They
val_542.jpg, photo is taken inside of a room. A large computer monitor and keyboard is sitting on top of a long brown desk. A white computer mouse is sitting near,Microsoft has a lot of desktops on it. There is a colorful keyboard with a black mouse. There is a monitor that is turned on. There
