filename,reference,prediction
test_1.jpg,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Large modern building with yellow pedestrian signs in front."
test_2.jpg,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Painting of a skier in yellow jacket jumping in the air."
test_3.jpg,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Bedroom with sliding glass door."
test_4.jpg,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Train is on tracks."
test_5.jpg,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.","User:<image>Without paragraphs describe the image in less words.
Assistant: Yellow bus with Preferred Ones sign in front of Urban Outfitters."
test_6.jpg,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: House with sheep grazing in front of it."
test_7.jpg,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Man playing wii with remote in hand."
test_8.jpg,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture shows two cyclists riding on a bike lane with a green hydrant and a truck and cars behind them."
test_9.jpg,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,"User:<image>Without paragraphs describe the image in less words.
Assistant: Blackberries, knives, and a pair of scissors on a table."
test_10.jpg,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.","User:<image>Without paragraphs describe the image in less words.
Assistant: Black top hat next to a clock."
test_11.jpg,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: White and yellow train with number 375826 on front."
test_12.jpg,A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree.,"User:<image>Without paragraphs describe the image in less words.
Assistant: Picture shows a man sitting on an elephant in a river."
test_13.jpg,There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Plate with food, fork and glass."
test_14.jpg,A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass.,"User:<image>Without paragraphs describe the image in less words.
Assistant: White cow with black horns in green field."
test_15.jpg,A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts.,"User:<image>Without paragraphs describe the image in less words.
Assistant: Skateboarder with dog on sidewalk."
test_16.jpg,There are some portable bathrooms sitting near a railroad track. There are some trains sitting on the track. The portable bathrooms are blue with a white roof and the trains are yellow.,"User:<image>Without paragraphs describe the image in less words.
Assistant: Blue portable toilets in front of railroad tracks."
test_17.jpg,A very white bathroom has a very white sink and toilet. The shower curtain that hangs from the ceiling is also white. There is one wall that is all mirrored. The door is made of glass and the faucet is silver. The floor is made of black tile. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: The image depicts a small bathroom with a modern design. The bathroom is enclosed by white walls and features a frosted glass door on the left side. The door is partially open, revealing a view of the bathroom interior.

Inside the bathroom, there is a toilet, a sink, and a small shelf mounted on the wall above the sink. The toilet is positioned to the right of the sink"
test_18.jpg,A man is in a black wetsuit. The man is riding a white surfboard. There is a large wave in the water the man is surfing on. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Surfer riding wave in ocean."
test_19.jpg,A pizza is on a brown wooden tray. The tray is placed on the stove top. The pizza has melted cheese and spinach on top of it. The stove is white with black burners.,"User:<image>Without paragraphs describe the image in less words.
Assistant: Pizza on stove with clock above it."
test_20.jpg,a flood is occuring. there is a lot of water on the road. the hydrant on the sidewalk is red. the garage doors are red in color . there are some pieces of grass growing.,"User:<image>Without paragraphs describe the image in less words.
Assistant: Red fire hydrant in front of closed storage units."
test_21.jpg,there are four airplanes in the sky. There is a small hill under them. There is a field of grass under the airplanes. There are smoke trails coming out from behind the airplanes. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Airplanes fly in the sky."
test_22.jpg,There is a large white airplane that is in the sky. There is a silver fence under the airplane. There are light poles on both sides of a fence under the plane. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Airplane landing at airport with fence in front."
test_23.jpg,"A young lady is having a very fun time by herself. This young lady has on very short jean shorts, a turquoise top and some shades on. She is surfing a fake wave on a plastic board and having so much fun.
","User:<image>Without paragraphs describe the image in less words.
Assistant: Surfer girl on inflatable wave."
test_24.jpg,A man is jumping in the air. The man is holding a green frisbee in his hand. There are trees behind the man. ,"User:<image>Without paragraphs describe the image in less words.
Assistant: Man is jumping and holding frisbee in air."
